"Echinostephia aculeata","Echinostephia","","aculeata",NA,NA,"","","kew-2783880",TRUE,"1.1","Accepted","Menispermaceae","Echinostephia","","aculeata","","","(F.M.Bailey) Domin","kew-2783880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium callithyrsum","Echium","","callithyrsum",NA,NA,"","","kew-2784034",TRUE,"1.1","Accepted","Boraginaceae","Echium","","callithyrsum","","","Webb ex Bolle","kew-2784034","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium candicans","Echium","","candicans",NA,NA,"","","kew-2784037",TRUE,"1.1","Accepted","Boraginaceae","Echium","","candicans","","","L.f.","kew-2784037","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium creticum","Echium","","creticum",NA,NA,"","","kew-2784058",TRUE,"1.1","Accepted","Boraginaceae","Echium","","creticum","","","L.","kew-2784058","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium decaisnei","Echium","","decaisnei",NA,NA,"","","kew-2784073",TRUE,"1.1","Accepted","Boraginaceae","Echium","","decaisnei","","","Webb & Berthel.","kew-2784073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium gentianoides","Echium","","gentianoides",NA,NA,"","","kew-2784117",TRUE,"1.1","Synonym","Boraginaceae","Echium","","thyrsiflorum","","","Masson ex Link","kew-2784385","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium giganteum","Echium","","giganteum",NA,NA,"","","kew-2784118",TRUE,"1.1","Accepted","Boraginaceae","Echium","","giganteum","","","L.f.","kew-2784118","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium handiense","Echium","","handiense",NA,NA,"","","kew-2784137",TRUE,"1.1","Accepted","Boraginaceae","Echium","","handiense","","","Svent.","kew-2784137","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium hierrense","Echium","","hierrense",NA,NA,"","","kew-2784138",TRUE,"1.1","Accepted","Boraginaceae","Echium","","hierrense","","","Webb ex Bolle","kew-2784138","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium horridum","Echium","","horridum",NA,NA,"","","kew-2784149",TRUE,"1.1","Accepted","Boraginaceae","Echium","","horridum","","","Batt.","kew-2784149","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium humile","Echium","","humile",NA,NA,"","","kew-2784150",TRUE,"1.1","Accepted","Boraginaceae","Echium","","humile","","","Desf.","kew-2784150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium hypertropicum","Echium","","hypertropicum",NA,NA,"","","kew-2784155",TRUE,"1.1","Accepted","Boraginaceae","Echium","","hypertropicum","","","Webb","kew-2784155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium italicum","Echium","","italicum",NA,NA,"","","kew-2784159",TRUE,"1.1","Accepted","Boraginaceae","Echium","","italicum","","","L.","kew-2784159","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium leucophaeum","Echium","","leucophaeum",NA,NA,"","","kew-2784189",TRUE,"1.1","Accepted","Boraginaceae","Echium","","leucophaeum","","","Webb ex Sprague & Hutch.","kew-2784189","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium lusitanicum","Echium","","lusitanicum",NA,NA,"","","kew-2784206",TRUE,"1.1","Accepted","Boraginaceae","Echium","","lusitanicum","","","L.","kew-2784206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium nervosum","Echium","","nervosum",NA,NA,"","","kew-2784241",TRUE,"1.1","Accepted","Boraginaceae","Echium","","nervosum","","","Dryand.","kew-2784241","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium onosmifolium","Echium","","onosmifolium",NA,NA,"","","kew-2784248",TRUE,"1.1","Accepted","Boraginaceae","Echium","","onosmifolium","","","Webb & Berthel.","kew-2784248","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium parviflorum","Echium","","parviflorum",NA,NA,"","","kew-2784266",TRUE,"1.1","Accepted","Boraginaceae","Echium","","parviflorum","","","Moench","kew-2784266","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium pininana","Echium","","pininana",NA,NA,"","","kew-2784279",TRUE,"1.1","Accepted","Boraginaceae","Echium","","pininana","","","Webb & Berthel.","kew-2784279","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium pitardii","Echium","","pitardii",NA,NA,"","","kew-2784280",TRUE,"1.1","Accepted","Boraginaceae","Echium","","pitardii","","","A.Chev.","kew-2784280","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium plantagineum","Echium","","plantagineum",NA,NA,"","","kew-2784282",TRUE,"1.1","Accepted","Boraginaceae","Echium","","plantagineum","","","L.","kew-2784282","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium rosulatum","Echium","","rosulatum",NA,NA,"","","kew-2784325",TRUE,"1.1","Accepted","Boraginaceae","Echium","","rosulatum","","","Lange","kew-2784325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium russicum","Echium","","russicum",NA,NA,"","","tro-4000023",TRUE,"1.1","Synonym","Boraginaceae","Echium","","maculatum","","","L.","kew-2784214","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Echium sabulicola","Echium","","sabulicola",NA,NA,"","","kew-2784335",TRUE,"1.1","Accepted","Boraginaceae","Echium","","sabulicola","","","Pomel","kew-2784335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium simplex","Echium","","simplex",NA,NA,"","","kew-2784354",TRUE,"1.1","Accepted","Boraginaceae","Echium","","simplex","","","DC.","kew-2784354","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium stenosiphon","Echium","","stenosiphon",NA,NA,"","","kew-2784367",TRUE,"1.1","Accepted","Boraginaceae","Echium","","stenosiphon","","","Webb","kew-2784367","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium strictum","Echium","","strictum",NA,NA,"","","kew-2784370",TRUE,"1.1","Accepted","Boraginaceae","Echium","","strictum","","","L.f.","kew-2784370","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium sventenii","Echium","","sventenii",NA,NA,"","","kew-2784377",TRUE,"1.1","Accepted","Boraginaceae","Echium","","sventenii","","","Bramwell","kew-2784377","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium tenue","Echium","","tenue",NA,NA,"","","kew-2784381",TRUE,"1.1","Accepted","Boraginaceae","Echium","","tenue","","","Roth","kew-2784381","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium triste","Echium","","triste",NA,NA,"","","kew-2784390",TRUE,"1.1","Accepted","Boraginaceae","Echium","","triste","","","Svent.","kew-2784390","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium tuberculatum","Echium","","tuberculatum",NA,NA,"","","kew-2784397",TRUE,"1.1","Accepted","Boraginaceae","Echium","","tuberculatum","","","Hoffmanns. & Link","kew-2784397","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium vilmorinianum","Echium","","vilmorinianum",NA,NA,"","","kew-2784413",TRUE,"1.1","Unresolved","Boraginaceae","Echium","","vilmorinianum","","","Sauvage & Vindt","kew-2784413","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Echium virescens","Echium","","virescens",NA,NA,"","","kew-2784416",TRUE,"1.1","Accepted","Boraginaceae","Echium","","virescens","","","DC.","kew-2784416","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium vulcanorum","Echium","","vulcanorum",NA,NA,"","","kew-2784422",TRUE,"1.1","Accepted","Boraginaceae","Echium","","vulcanorum","","","A.Chev.","kew-2784422","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium vulgare","Echium","","vulgare",NA,NA,"","","kew-2784423",TRUE,"1.1","Accepted","Boraginaceae","Echium","","vulgare","","","L.","kew-2784423","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium webbii","Echium","","webbii",NA,NA,"","","kew-2784433",TRUE,"1.1","Accepted","Boraginaceae","Echium","","webbii","","","Coincy","kew-2784433","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Echium wildpretii","Echium","","wildpretii",NA,NA,"","","kew-2784435",TRUE,"1.1","Accepted","Boraginaceae","Echium","","wildpretii","","","H.Pearson ex Hook.f.","kew-2784435","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eclipta prostrata","Eclipta","","prostrata",NA,NA,"","","gcc-6746",TRUE,"1.1","Accepted","Compositae","Eclipta","","prostrata","","","(L.) L.","gcc-6746","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectadiopsis brevifolia","Ectadiopsis","","brevifolia",NA,NA,"","","kew-2784450",TRUE,"1.1","Synonym","Apocynaceae","Cryptolepis","","volubilis","","","(Balf.f.) O.Schwartz","kew-2746420","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectadium latifolium","Ectadium","","latifolium",NA,NA,"","","kew-2784463",TRUE,"1.1","Accepted","Apocynaceae","Ectadium","","latifolium","","","(Schinz) N.E.Br.","kew-2784463","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectopopterys soejartoi","Ectopopterys","","soejartoi",NA,NA,"","","kew-2784501",TRUE,"1.1","Accepted","Malpighiaceae","Ectopopterys","","soejartoi","","","W.R.Anderson","kew-2784501","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectropothecium leptochaeton","Ectropothecium","","leptochaeton",NA,NA,"","","tro-35136126",TRUE,"1.1","Accepted","Hypnaceae","Ectropothecium","","leptochaeton","","","(Schwägr.) W.R. Buck","tro-35136126","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectropothecium regulare","Ectropothecium","","regulare",NA,NA,"","","tro-35134068",TRUE,"1.1","Accepted","Hypnaceae","Ectropothecium","","regulare","","","(Brid.) A. Jaeger","tro-35134068","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectrosia leporina","Ectrosia","","leporina",NA,NA,"","","kew-410435",TRUE,"1.1","Accepted","Poaceae","Ectrosia","","leporina","","","R.Br.","kew-410435","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectrosia scabrida","Ectrosia","","scabrida",NA,NA,"","","kew-410442",TRUE,"1.1","Accepted","Poaceae","Ectrosia","","scabrida","","","C.E.Hubb.","kew-410442","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ectrosia schultzii","Ectrosia","","schultzii",NA,NA,"","","kew-410443",TRUE,"1.1","Accepted","Poaceae","Ectrosia","","schultzii","","","Benth.","kew-410443","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ecuadendron acosta","Ecuadendron","","acosta",NA,NA,"","","",FALSE,"1.1","","","Ecuadendron","","acosta",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Edgeworthia chrysantha","Edgeworthia","","chrysantha",NA,NA,"","","kew-2784519",TRUE,"1.1","Synonym","Thymelaeaceae","Edgeworthia","","tomentosa","","","(Thunb.) Nakai","kew-2784524","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edithcolea grandis","Edithcolea","","grandis",NA,NA,"","","kew-2784531",TRUE,"1.1","Accepted","Apocynaceae","Edithcolea","","grandis","","","N.E.Br.","kew-2784531","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edithea guerrerensis","Edithea","","guerrerensis",NA,NA,"","","",FALSE,"1.1","","","Edithea","","guerrerensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Edithea oaxacana","Edithea","","oaxacana",NA,NA,"","","",FALSE,"1.1","","","Edithea","","oaxacana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Edithea schiblii","Edithea","","schiblii",NA,NA,"","","kew-344011",TRUE,"1.1","Accepted","Rubiaceae","Edithea","","schiblii","","","Borhidi, Saynes & K.Velasco","kew-344011","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edmondia fasciculata","Edmondia","","fasciculata",NA,NA,"","","gcc-87168",TRUE,"1.1","Accepted","Compositae","Edmondia","","fasciculata","","","(Andrews) Hilliard","gcc-87168","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edmondia pinifolia","Edmondia","","pinifolia",NA,NA,"","","gcc-123587",TRUE,"1.1","Accepted","Compositae","Edmondia","","pinifolia","","","(Lam.) Hilliard","gcc-123587","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edmondia sesamoides","Edmondia","","sesamoides",NA,NA,"","","gcc-37585",TRUE,"1.1","Accepted","Compositae","Edmondia","","sesamoides","","","(L.) Hilliard","gcc-37585","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edmundoa ambigua","Edmundoa","","ambigua",NA,NA,"","","kew-242095",TRUE,"1.1","Synonym","Bromeliaceae","Canistrum","","ambiguum","","","(Wand. & Leme) Wand. & B.A.Moreira","kew-456804","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edmundoa lindenii","Edmundoa","","lindenii",NA,NA,"","","kew-242096",TRUE,"1.1","Synonym","Bromeliaceae","Canistrum","","fragrans","","","(Linden) Mabb.","kew-223805","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edmundoa perplexa","Edmundoa","","perplexa",NA,NA,"","","kew-242098",TRUE,"1.1","Synonym","Bromeliaceae","Canistrum","","perplexum","","","L.B.Sm.","kew-223824","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus australis","Edraianthus","","australis",NA,NA,"","","kew-369179",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","australis","","","(Wettst.) Lakušić ex Greuter, Burdet & G.Long","kew-369179","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus dalmaticus","Edraianthus","","dalmaticus",NA,NA,"","","kew-369184",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","dalmaticus","","","(A.DC.) A.DC.","kew-369184","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus dinaricus","Edraianthus","","dinaricus",NA,NA,"","","kew-369185",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","dinaricus","","","(A.Kern.) Wettst.","kew-369185","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus glisicii","Edraianthus","","glisicii",NA,NA,"","","kew-369186",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","glisicii","","","Cernjavski & Soska","kew-369186","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus graminifolius","Edraianthus","","graminifolius",NA,NA,"","","kew-369187",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","graminifolius","","","(L.) A.DC.","kew-369187","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus hercegovinicus","Edraianthus","","hercegovinicus",NA,NA,"","","kew-369205",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","hercegovinus","","","K.Malý","kew-369205","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Edraianthus horvatii","Edraianthus","","horvatii",NA,NA,"","","kew-369206",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","horvatii","","","Lakušić","kew-369206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus niveus","Edraianthus","","niveus",NA,NA,"","","kew-369217",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","niveus","","","Beck","kew-369217","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus owerinianus","Edraianthus","","owerinianus",NA,NA,"","","kew-369218",TRUE,"1.1","Synonym","Campanulaceae","Muehlbergella","","oweriana","","","(Rupr.) Feer","kew-354414","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus parnassicus","Edraianthus","","parnassicus",NA,NA,"","","kew-369219",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","parnassicus","","","(Boiss. & Spruner) Halácsy","kew-369219","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus pumilio","Edraianthus","","pumilio",NA,NA,"","","kew-369220",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","pumilio","","","(Port. ex Schult.) A.DC.","kew-369220","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus serbicus","Edraianthus","","serbicus",NA,NA,"","","kew-369221",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","serbicus","","","(A.Kern.) Petrovic","kew-369221","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus serpyllifolius","Edraianthus","","serpyllifolius",NA,NA,"","","kew-369223",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","serpyllifolius","","","(Vis.) A.DC.","kew-369223","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus tarae","Edraianthus","","tarae",NA,NA,"","","kew-460396",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","tarae","","","Lakušić","kew-460396","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus tenuifolius","Edraianthus","","tenuifolius",NA,NA,"","","kew-369228",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","tenuifolius","","","(A.DC.) A.DC.","kew-369228","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edraianthus wettsteinii","Edraianthus","","wettsteinii",NA,NA,"","","kew-369233",TRUE,"1.1","Accepted","Campanulaceae","Edraianthus","","wettsteinii","","","Halácsy & Bald.","kew-369233","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Edrastima goreensis","Edrastima","","goreensis",NA,NA,"","","",FALSE,"1.1","","","Edrastima","","goreensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Edrastima trinervia","Edrastima","","trinervia",NA,NA,"","","",FALSE,"1.1","","","Edrastima","","trinervia",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Edrastima uniflora","Edrastima","","uniflora",NA,NA,"","","",FALSE,"1.1","","","Edrastima","","uniflora",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Eduandrea selloana","Eduandrea","","selloana",NA,NA,"","","kew-372815",TRUE,"1.1","Accepted","Bromeliaceae","Eduandrea","","selloana","","","(Baker) Leme, W.Till, G.K.Br., J.R.Grant & Govaerts","kew-372815","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Efulensia clematoides","Efulensia","","clematoides",NA,NA,"","","kew-2784623",TRUE,"1.1","Accepted","Passifloraceae","Efulensia","","clematoides","","","C.H.Wright","kew-2784623","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Egeria densa","Egeria","","densa",NA,NA,"","","kew-309440",TRUE,"1.1","Accepted","Hydrocharitaceae","Egeria","","densa","","","Planch.","kew-309440","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Egeria najas","Egeria","","najas",NA,NA,"","","kew-309443",TRUE,"1.1","Accepted","Hydrocharitaceae","Egeria","","najas","","","Planch.","kew-309443","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Egletes liebmannii","Egletes","","liebmannii",NA,NA,"","","gcc-43309",TRUE,"1.1","Accepted","Compositae","Egletes","","liebmannii","","","Sch.Bip.","gcc-43309","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Egletes viscosa","Egletes","","viscosa",NA,NA,"","","gcc-87313",TRUE,"1.1","Accepted","Compositae","Egletes","","viscosa","","","(L.) Less.","gcc-87313","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrendorferia chrysantha","Ehrendorferia","","chrysantha",NA,NA,"","","kew-2784636",TRUE,"1.1","Accepted","Papaveraceae","Ehrendorferia","","chrysantha","","","(Hook. & Arn.) Rylander","kew-2784636","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrendorferia ochroleuca","Ehrendorferia","","ochroleuca",NA,NA,"","","kew-2784637",TRUE,"1.1","Accepted","Papaveraceae","Ehrendorferia","","ochroleuca","","","(Engelm.) Fukuhara","kew-2784637","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia acuminata","Ehretia","","acuminata",NA,NA,"","","kew-2784642",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","acuminata","","","R.Br.","kew-2784642","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia amoena","Ehretia","","amoena",NA,NA,"","","kew-2784653",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","amoena","","","Klotzsch","kew-2784653","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia anacua","Ehretia","","anacua",NA,NA,"","","kew-2784654",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","anacua","","","(Terán & Berland.) I.M.Johnst.","kew-2784654","Accepted",FALSE,FALSE,FALSE,2017-05-11
